Step,Time (s),C8H20O4SI (mol/cm3),Err,C6H16O4SI (mol/cm3),Err,C4H12O4SI (mol/cm3),Err,C2H8O4SI (mol/cm3),Err,H4O4SI (mol/cm3),Err,C6H16O4SI2 (mol/cm3),Err,C4H12O4SI2 (mol/cm3),Err,C2H8O4SI2 (mol/cm3),Err,H2 (mol/cm3),Err,H2O (mol/cm3),Err,H (mol/cm3),Err,CH4 (mol/cm3),Err,CH3 (mol/cm3),Err,CH2 (mol/cm3),Err,CH (mol/cm3),Err,CO (mol/cm3),Err,C2H (mol/cm3),Err,C2H2 (mol/cm3),Err,C2H3 (mol/cm3),Err,C2H4 (mol/cm3),Err,C2H5OH (mol/cm3),Err,C2H5 (mol/cm3),Err,H2CCCH (mol/cm3),Err,C3H2 (mol/cm3),Err,CH2(S) (mol/cm3),Err,C3H6 (mol/cm3),Err,AC3H5 (mol/cm3),Err,PC3H5 (mol/cm3),Err,N2 (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31647e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37318e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43548e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48755e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53912e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59246e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64512e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69314e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
35,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74329e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
36,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79399e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03892e-05,0,1173,0,1.03892e-05,0,101325,0
