Weight,Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (cm-3),Num coags,silica,Number of Si atoms,Number of O atoms,Number of OH atoms,Number of primaries,Avg. primary diameter,Avg. Sintering Level
4763,56.3686,160.844,160.844,4.81147e-10,9.37803e-17,2.06317e-16,0.727332,1.44042e-06,685,1.86481e+06,9934.68,19156.4,1568.99,203,8.27208,0.0449658
18158.2,35.8964,71.5081,71.5081,1.13817e-10,2.42187e-17,5.32811e-17,0.727332,5.4914e-06,450,484205,4810.17,9485.76,445.468,109,3.59885,0.185066
10673.4,42.9507,104.52,104.52,2.20005e-10,4.14869e-17,9.12712e-17,0.727332,3.22786e-06,1867,829923,10519.7,20135.8,1715.89,85,8.79893,0.0465837
4386.91,57.7815,150.894,150.894,4.42644e-10,1.0101e-16,2.22222e-16,0.727332,1.32669e-06,915,2.00849e+06,10301,20000.7,1474.8,211,8.61831,0.0829128
19140.9,35.4173,73.6688,73.6688,1.18218e-10,2.32618e-17,5.1176e-17,0.727332,5.78858e-06,622,465541,9807,18738.2,1716.86,51,8.13112,0.0872072
8132.88,47.0583,128.703,128.703,3.14667e-10,5.45643e-17,1.20041e-16,0.727332,2.45954e-06,478,1.08846e+06,10310.2,19835.1,1608.56,114,8.39685,0.0187139
6174.9,51.6482,125.786,125.786,3.18512e-10,7.21381e-17,1.58704e-16,0.727332,1.86741e-06,1417,1.44324e+06,10125.3,19141.8,1771.14,154,8.4795,0.0941002
3202.21,64.2066,193.611,193.611,6.78167e-10,1.38592e-16,3.04903e-16,0.727332,9.68411e-07,115,2.77295e+06,9255.13,17715.2,1483.87,323,7.79285,0.0529425
22558.8,33.309,71.3541,71.3541,1.09285e-10,1.93501e-17,4.25703e-17,0.727332,6.82221e-06,2059,390392,11018.5,21120.6,1612.42,38,9.01827,0.0306014
29983.7,30.3333,60.3689,60.3689,8.11578e-11,1.46137e-17,3.21501e-17,0.727332,9.06766e-06,124,292152,10200.4,19542.4,1502.48,31,8.83689,0.055512
13899.9,39.4599,87.8006,87.8006,1.62358e-10,3.21712e-17,7.07767e-17,0.728232,4.20359e-06,361,641942,9723.24,18649.4,1705.13,71,8.43827,0.0788313
7015.24,49.2728,136.316,136.316,3.50973e-10,6.26356e-17,1.37798e-16,0.727332,2.12154e-06,717,1.25993e+06,11038.5,21006.6,1688.03,123,9.09283,0.0203239
25876.2,31.9871,66.9146,66.9146,9.72565e-11,1.71365e-17,3.77003e-17,0.727332,7.82546e-06,1538,342270,11564.1,22462.8,1497.94,32,9.40394,0.0226647
17840.7,36.1556,82.0562,82.0562,1.40412e-10,2.47471e-17,5.44437e-17,0.727332,5.39537e-06,922,495450,8216.34,15674.9,1351.18,65,7.06987,0.0582572
13465.7,39.7336,98.2616,98.2616,1.92888e-10,3.28454e-17,7.22598e-17,0.727332,4.07227e-06,805,653339,9648.18,18998.3,1252.95,73,7.65783,0.023481
3106.94,64.7764,187.679,187.679,6.50101e-10,1.42314e-16,3.13092e-16,0.727332,9.39598e-07,1217,2.85238e+06,9315.81,17785.5,1487.32,330,7.74831,0.0678833
5263.49,54.2929,155.052,155.052,4.46928e-10,8.37968e-17,1.84353e-16,0.727332,1.59178e-06,1192,1.6804e+06,9542.45,18159.3,1523.38,190,7.95117,0.0402604
11845.2,41.3144,97.6532,97.6532,1.94864e-10,3.69236e-17,8.1232e-17,0.727332,3.58223e-06,2674,737263,5885.99,11530.1,744.415,135,5.2212,0.09968
8463.22,46.3493,113.913,113.913,2.60033e-10,5.21348e-17,1.14697e-16,0.727332,2.55944e-06,609,1.053e+06,10874.7,20799.8,1534.63,104,8.91085,0.0595613
4019.36,59.3864,166.906,166.906,5.22038e-10,1.09663e-16,2.41259e-16,0.727332,1.21553e-06,576,2.21698e+06,11031.5,20828.4,1747.91,216,8.94931,0.0546847
10403.4,43.35,117.325,117.325,2.62865e-10,4.26547e-17,9.38403e-17,0.727332,3.14618e-06,2809,850536,8975.83,17526.6,1273.57,102,7.43571,0.0134437
9573.94,44.4422,109.181,109.181,2.38929e-10,4.59605e-17,1.01113e-16,0.727332,2.89534e-06,1047,920153,9932.49,19007.4,1528.39,100,8.32421,0.0564089
7577.3,48.2416,114.386,114.386,2.66943e-10,5.87849e-17,1.29327e-16,0.727332,2.29152e-06,310,1.17122e+06,10684.9,20502.3,1884.94,118,9.05197,0.0879393
6121.21,51.7017,135.436,135.436,3.56043e-10,7.23625e-17,1.59197e-16,0.727332,1.85117e-06,1784,1.4505e+06,10093.4,19220.5,1627.12,155,8.40502,0.0610685
6749.99,50.1019,134.204,134.204,3.45721e-10,6.58509e-17,1.44872e-16,0.727332,2.04133e-06,904,1.33038e+06,11121.6,20721,1916.19,129,9.04495,0.0376423
17650.1,36.27,79.6034,79.6034,1.34376e-10,2.49829e-17,5.49624e-17,0.727332,5.33775e-06,1153,503472,10040.9,18843.1,1740.93,54,8.53382,0.0584536
9792.63,44.3733,114.162,114.162,2.55266e-10,4.57473e-17,1.00644e-16,0.727332,2.96148e-06,1034,906948,11529.3,22127.2,2080.79,85,9.16546,0.0192729
17962.9,36.0973,80.7255,80.7255,1.369e-10,2.46277e-17,5.41808e-17,0.727332,5.43233e-06,1165,492411,10831.4,20880.6,1632.12,49,8.9316,0.0354203
33199.5,29.573,59.0009,59.0009,7.74258e-11,1.35421e-17,2.97926e-17,0.728232,1.00402e-05,1295,270642,11258.8,20791.9,2431.81,26,9.24035,0.0261227
13103.5,40.0894,88.5879,88.5879,1.65854e-10,3.37356e-17,7.42183e-17,0.727332,3.96277e-06,669,674589,9104.25,17304.5,1544.15,80,7.98201,0.0942115
