Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv,Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags,Err,Max num coags,Err,silica,Err,Avg. silica,Err,Number of Si atoms (cm-3),Err,Number of O atoms (cm-3),Err,Number of OH atoms (cm-3),Err,Avg. Number of Primaries per Particle (-),Err,Avg. Primary Diameter (nm),Err,Avg. Sintering Level (-),Err,Avg. Particle Mass (kg),Err,Avg. Sintering Rate (m2/s),Err,Avg. Sintering Time (s),Err,Avg. Create Time (s),Err
22,0.033,16384,0,3.53032e+17,0,1.12854e-09,0,1.16064e-09,0,1.16064e-09,0,5.39851,0,1.52918e-17,0,6.44782e-09,0,1.82641e-26,0,1.41852e-05,0,4.01811e-23,0,2.09912e-26,0,5.26538e-47,0,18.1556,0,3010,0,1.34338e+14,0,380.526,0,1.40478e+14,0,2.4622e+14,0,3.88002e+13,0,1.0548,0,1.0325,0,0.00871912,0,4.01811e-23,0,4.65129e-15,0,0.00295785,0,0.0322927,0
23,0.0345,16384,0,3.22475e+17,0,1.11752e-09,0,1.15686e-09,0,1.15686e-09,0,5.33013,0,1.65288e-17,0,6.56673e-09,0,2.03635e-26,0,1.44468e-05,0,4.47998e-23,0,2.42173e-26,0,6.89107e-47,0,19.3975,0,3273,0,1.36255e+14,0,422.528,0,1.42867e+14,0,2.53419e+14,0,3.73481e+13,0,1.06501,0,1.00879,0,0.0090689,0,4.47998e-23,0,5.88355e-15,0,0.00283199,0,0.0338966,0
24,0.036,16384,0,2.95319e+17,0,1.12414e-09,0,1.1709e-09,0,1.1709e-09,0,5.28617,0,1.78998e-17,0,6.66787e-09,0,2.25785e-26,0,1.46693e-05,0,4.96727e-23,0,2.777e-26,0,8.98721e-47,0,20.7827,0,3508,0,1.3778e+14,0,466.544,0,1.4483e+14,0,2.59579e+14,0,3.61909e+13,0,1.07615,0,1.00321,0,0.00922914,0,4.96727e-23,0,5.12091e-15,0,0.00298928,0,0.0352978,0
25,0.0375,16384,0,2.07247e+17,0,1.27494e-09,0,1.34613e-09,0,1.34613e-09,0,5.15846,0,2.48903e-17,0,6.75486e-09,0,3.25932e-26,0,1.48607e-05,0,7.17051e-23,0,3.14447e-26,0,1.13818e-46,0,29.1081,0,3769,0,1.39072e+14,0,671.044,0,1.46536e+14,0,2.65146e+14,0,3.49141e+13,0,1.11157,0,1.1079,0,0.0112062,0,7.17051e-23,0,7.53154e-15,0,0.00369809,0,0.0367557,0
26,0.039,16384,0,1.7867e+17,0,1.32697e-09,0,1.41468e-09,0,1.41468e-09,0,5.11962,0,2.86541e-17,0,6.83615e-09,0,3.82614e-26,0,1.50395e-05,0,8.41751e-23,0,3.55547e-26,0,1.43669e-46,0,32.9092,0,4099,0,1.40222e+14,0,784.813,0,1.48074e+14,0,2.7005e+14,0,3.40939e+13,0,1.13373,0,1.13129,0,0.0126227,0,8.41751e-23,0,6.41054e-15,0,0.0039155,0,0.0382522,0
27,0.0405,16384,0,1.47908e+17,0,1.41742e-09,0,1.52819e-09,0,1.52819e-09,0,5.06943,0,3.42742e-17,0,6.89996e-09,0,4.66503e-26,0,1.51799e-05,0,1.02631e-22,0,3.95769e-26,0,1.76954e-46,0,38.8401,0,4391,0,1.41068e+14,0,953.755,0,1.49276e+14,0,2.74027e+14,0,3.33379e+13,0,1.16669,0,1.18478,0,0.0136367,0,1.02631e-22,0,6.76876e-15,0,0.00438514,0,0.0397098,0
28,0.042,16384,0,1.45724e+17,0,1.38119e-09,0,1.4988e-09,0,1.4988e-09,0,5.06451,0,3.47542e-17,0,6.95919e-09,0,4.7756e-26,0,1.53102e-05,0,1.05063e-22,0,4.38102e-26,0,2.14322e-46,0,38.3587,0,4641,0,1.41806e+14,0,973.114,0,1.50343e+14,0,2.77585e+14,0,3.2844e+13,0,1.17858,0,1.14661,0,0.0125383,0,1.05063e-22,0,6.75092e-15,0,0.00421568,0,0.0412291,0
29,0.0435,16384,0,1.08606e+17,0,1.58367e-09,0,1.74652e-09,0,1.74652e-09,0,5.01402,0,4.6167e-17,0,7.007e-09,0,6.45175e-26,0,1.54154e-05,0,1.41938e-22,0,4.80455e-26,0,2.5597e-46,0,50.2748,0,4847,0,1.42361e+14,0,1310.8,0,1.51202e+14,0,2.80566e+14,0,3.23465e+13,0,1.23818,0,1.27557,0,0.0153182,0,1.41938e-22,0,7.03573e-15,0,0.0054701,0,0.0424545,0
30,0.045,16384,0,1.03291e+17,0,1.58906e-09,0,1.76352e-09,0,1.76352e-09,0,4.98952,0,4.83056e-17,0,7.05203e-09,0,6.82736e-26,0,1.55145e-05,0,1.50202e-22,0,5.24165e-26,0,3.01361e-46,0,51.2503,0,4994,0,1.42893e+14,0,1383.41,0,1.52027e+14,0,2.83203e+14,0,3.20117e+13,0,1.25651,0,1.26742,0,0.015149,0,1.50202e-22,0,7.35483e-15,0,0.00542869,0,0.0440732,0
31,0.0465,16384,0,9.22781e+16,0,1.64413e-09,0,1.84502e-09,0,1.84502e-09,0,4.9713,0,5.38731e-17,0,7.08635e-09,0,7.67934e-26,0,1.559e-05,0,1.68946e-22,0,5.68489e-26,0,3.51759e-46,0,55.7298,0,5125,0,1.43268e+14,0,1552.57,0,1.52655e+14,0,2.85481e+14,0,3.15052e+13,0,1.29659,0,1.28967,0,0.0153586,0,1.68946e-22,0,8.25031e-15,0,0.00583913,0,0.0454881,0
32,0.048,16384,0,5.99256e+16,0,2.09936e-09,0,2.41422e-09,0,2.41422e-09,0,4.91857,0,8.20779e-17,0,7.11714e-09,0,1.18766e-25,0,1.56577e-05,0,2.61286e-22,0,6.14407e-26,0,4.07944e-46,0,83.0117,0,5258,0,1.43624e+14,0,2396.7,0,1.53234e+14,0,2.87552e+14,0,3.09997e+13,0,1.44417,0,1.57048,0,0.0214533,0,2.61286e-22,0,9.28723e-15,0,0.0076877,0,0.0472722,0
33,0.0495,16384,0,5.58168e+16,0,2.14422e-09,0,2.48626e-09,0,2.48626e-09,0,4.89627,0,8.77203e-17,0,7.14385e-09,0,1.27987e-25,0,1.57165e-05,0,2.81572e-22,0,6.56076e-26,0,4.61828e-46,0,86.3359,0,5356,0,1.43903e+14,0,2578.12,0,1.53725e+14,0,2.89152e+14,0,3.07638e+13,0,1.47117,0,1.58784,0,0.0210158,0,2.81572e-22,0,8.10548e-15,0,0.00801448,0,0.0486714,0
34,0.051,16384,0,3.78225e+16,0,2.77405e-09,0,3.28851e-09,0,3.28851e-09,0,4.87349,0,1.28852e-16,0,7.1656e-09,0,1.89454e-25,0,1.57643e-05,0,4.16798e-22,0,7.02644e-26,0,5.2593e-46,0,123.424,0,5480,0,1.44135e+14,0,3810.83,0,1.54137e+14,0,2.90638e+14,0,3.03811e+13,0,1.70008,0,1.97338,0,0.0274565,0,4.16798e-22,0,1.1133e-14,0,0.0110305,0,0.0502224,0
35,0.0525,16384,0,2.09487e+16,0,4.37334e-09,0,5.30702e-09,0,5.30702e-09,0,4.83994,0,2.31038e-16,0,7.18293e-09,0,3.42882e-25,0,1.58024e-05,0,7.5434e-22,0,7.4738e-26,0,5.89852e-46,0,215.535,0,5563,0,1.44295e+14,0,6888.03,0,1.54458e+14,0,2.91765e+14,0,3.01409e+13,0,2.20049,0,2.97324,0,0.0458979,0,7.5434e-22,0,1.40513e-14,0,0.0191596,0,0.0513652,0
36,0.054,16384,0,3.70288e+16,0,2.67914e-09,0,3.20693e-09,0,3.20693e-09,0,4.8221,0,1.30226e-16,0,7.19865e-09,0,1.94407e-25,0,1.5837e-05,0,4.27695e-22,0,7.94704e-26,0,6.63368e-46,0,117.387,0,5676,0,1.44433e+14,0,3900.56,0,1.54742e+14,0,2.92629e+14,0,3.00843e+13,0,1.71931,0,1.87916,0,0.0254257,0,4.27695e-22,0,8.83236e-15,0,0.0109382,0,0.0530312,0
37,0.0555,16384,0,2.01557e+16,0,4.27182e-09,0,5.25942e-09,0,5.25942e-09,0,4.81774,0,2.39027e-16,0,7.21047e-09,0,3.57739e-25,0,1.5863e-05,0,7.87027e-22,0,8.40987e-26,0,7.41356e-46,0,208.942,0,5801,0,1.4454e+14,0,7171.19,0,1.54979e+14,0,2.93501e+14,0,2.9794e+13,0,2.31727,0,2.8378,0,0.0431752,0,7.87027e-22,0,1.35548e-14,0,0.0198059,0,0.0534392,0
38,0.057,16384,0,2.31291e+16,0,3.68965e-09,0,4.54914e-09,0,4.54914e-09,0,4.79117,0,2.07149e-16,0,7.22287e-09,0,3.12286e-25,0,1.58903e-05,0,6.87028e-22,0,8.90303e-26,0,8.26478e-46,0,176.039,0,5927,0,1.44648e+14,0,6253.96,0,1.55201e+14,0,2.94268e+14,0,2.96712e+13,0,2.18442,0,2.44273,0,0.0359664,0,6.87028e-22,0,1.09752e-14,0,0.0165169,0,0.0557252,0
39,0.0585,16384,0,1.62095e+16,0,4.85539e-09,0,6.08872e-09,0,6.08872e-09,0,4.77464,0,2.94559e-16,0,7.23159e-09,0,4.46134e-25,0,1.59095e-05,0,9.81495e-22,0,9.39734e-26,0,9.18672e-46,0,242.718,0,5973,0,1.44716e+14,0,8927.86,0,1.5537e+14,0,2.94956e+14,0,2.94234e+13,0,2.59091,0,3.1323,0,0.0478518,0,9.81495e-22,0,1.29539e-14,0,0.0224571,0,0.0571674,0
40,0.06,16384,0,9.33369e+15,0,7.75099e-09,0,9.88073e-09,0,9.88073e-09,0,4.73937,0,5.07771e-16,0,7.23839e-09,0,7.75513e-25,0,1.59245e-05,0,1.70613e-21,0,9.89194e-26,0,1.01393e-45,0,407.093,0,5986,0,1.44762e+14,0,15509.6,0,1.5551e+14,0,2.95473e+14,0,2.92359e+13,0,3.5847,0,4.84206,0,0.0816371,0,1.70613e-21,0,1.59809e-14,0,0.0374857,0,0.0582894,0
41,0.0615,16384,0,9.08721e+15,0,7.73953e-09,0,9.92099e-09,0,9.92099e-09,0,4.72061,0,5.19479e-16,0,7.24596e-09,0,7.9738e-25,0,1.59411e-05,0,1.75424e-21,0,1.03809e-25,0,1.11809e-45,0,403.97,0,5991,0,1.44831e+14,0,15937.9,0,1.55663e+14,0,2.95916e+14,0,2.9156e+13,0,3.50866,0,4.82697,0,0.0810179,0,1.75424e-21,0,1.20119e-14,0,0.0376238,0,0.0596373,0
42,0.063,16384,0,1.87759e+16,0,3.98031e-09,0,5.01458e-09,0,5.01458e-09,0,4.66894,0,2.48666e-16,0,7.25366e-09,0,3.86328e-25,0,1.59581e-05,0,8.49922e-22,0,1.08763e-25,0,1.2211e-45,0,189.355,0,6008,0,1.44914e+14,0,7718.06,0,1.5581e+14,0,2.96236e+14,0,2.92123e+13,0,2.24295,0,2.56914,0,0.0386734,0,8.49922e-22,0,6.42898e-15,0,0.0181239,0,0.0620849,0
43,0.0645,16384,0,8.63681e+15,0,7.72337e-09,0,9.99753e-09,0,9.99753e-09,0,4.66195,0,5.39776e-16,0,7.25742e-09,0,8.40289e-25,0,1.59663e-05,0,1.84864e-21,0,1.13305e-25,0,1.3214e-45,0,400.586,0,6025,0,1.44943e+14,0,16782,0,1.55886e+14,0,2.96535e+14,0,2.90992e+13,0,3.81031,0,4.65804,0,0.0789891,0,1.84864e-21,0,1.40098e-14,0,0.0388985,0,0.0623753,0
44,0.066,16384,0,8.38797e+15,0,7.71872e-09,0,1.00619e-08,0,1.00619e-08,0,4.65073,0,5.54452e-16,0,7.26005e-09,0,8.65532e-25,0,1.59721e-05,0,1.90417e-21,0,1.18396e-25,0,1.43932e-45,0,398.752,0,6028,0,1.44958e+14,0,17281.7,0,1.55947e+14,0,2.96767e+14,0,2.8984e+13,0,3.82351,0,4.63308,0,0.0781486,0,1.90417e-21,0,1.12833e-14,0,0.0390245,0,0.0637657,0
45,0.0675,16384,0,8.18295e+15,0,7.69752e-09,0,1.00946e-08,0,1.00946e-08,0,4.63277,0,5.66149e-16,0,7.26291e-09,0,8.87566e-25,0,1.59784e-05,0,1.95265e-21,0,1.23476e-25,0,1.55914e-45,0,395.35,0,6035,0,1.44968e+14,0,17715.8,0,1.56002e+14,0,2.96969e+14,0,2.89277e+13,0,3.90171,0,4.5712,0,0.0770646,0,1.95265e-21,0,1.09442e-14,0,0.0399067,0,0.0641245,0
