Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),silica,Number of Si Atoms,Number of O Atoms,Number of OH Atoms,Number of Primaries,Avg. Primary Diameter,Avg. Sintering Level,Avg. Si:O Ratio
29296.9,16.6154,20.3619,20.3619,1.17661e-11,2.40175e-18,5.28385e-18,1,0.04,8,52675,8779.17,16901,792.667,6,8.51935,0.415402,0.496176
104632,10.8869,12.055,12.055,4.3386e-12,6.75631e-19,1.48639e-18,1,0.142857,4,14749,7374.5,14127,854,2,8.45304,0.312826,0.492257
12849.5,21.8892,34.9705,34.9705,3.03961e-11,5.49147e-18,1.20812e-17,1,0.0175439,9,120099,10008.2,19216.7,1051.67,12,9.25008,0.10373,0.493788
13819.3,21.3526,32.4129,32.4129,2.67887e-11,5.0974e-18,1.12143e-17,1,0.0188679,5,111671,10151.9,19523.3,976.182,11,9.06365,0.15452,0.495228
366211,7.18277,7.18277,7.18277,1.62082e-12,1.94033e-19,4.26872e-19,1,0.5,1,4214,4214,8002,632,1,7.18277,0,0.48807
30517.6,16.4066,20.3218,20.3218,1.16574e-11,2.31234e-18,5.08715e-18,1,0.0416667,4,50568,8428,16172,897.333,6,8.66247,0.389367,0.493751
21541.8,18.414,27.272,27.272,1.92e-11,3.26924e-18,7.19232e-18,1,0.0294118,5,71638,11939.7,22976.7,1123.33,6,9.77791,0.00998952,0.495422
23626.5,17.8656,26.0481,26.0481,1.76532e-11,2.98575e-18,6.56864e-18,1,0.0322581,9,65317,10886.2,20913.7,1122.33,6,9.48906,0.0393534,0.494017
73242.2,12.2564,14.2975,14.2975,5.94596e-12,9.64035e-19,2.12088e-18,1,0.1,3,21070,10535,20207,1151,2,9.54537,0,0.493258
33291.9,15.9377,21.2626,21.2626,1.22966e-11,2.1197e-18,4.66334e-18,1,0.0454545,8,46354,11588.5,22256,1216.5,4,9.94353,0.051325,0.493705
183105,9.03579,9.03579,9.03579,2.56497e-12,3.86276e-19,8.49806e-19,1,0.25,1,8428,8428,16132,1004,1,9.03579,0,0.49183
15258.8,20.6615,33.5413,33.5413,2.77396e-11,4.61832e-18,1.01603e-17,1,0.0208333,13,101136,11237.3,21611.6,1095.33,9,9.4381,0.00524511,0.494887
28170.1,16.8496,23.057,23.057,1.42774e-11,2.50478e-18,5.51052e-18,1,0.0384615,7,54782,10956.4,21040.8,1146.4,5,9.08132,0.0961279,0.493816
45776.4,14.3186,18.4775,18.4775,9.44204e-12,1.5371e-18,3.38162e-18,1,0.0625,8,33712,8428,16258,729.5,4,8.05324,0.141063,0.49613
104632,10.8848,11.6865,11.6865,4.14082e-12,6.75239e-19,1.48553e-18,1,0.142857,3,14749,7374.5,14132,834,2,8.02083,0.509842,0.49275
25255.9,17.4693,24.1913,24.1913,1.56234e-11,2.79142e-18,6.14112e-18,1,0.0344828,7,61103,10183.8,19577.3,1015.67,6,9.17324,0.140842,0.494529
122070,10.3401,10.7983,10.7983,3.58466e-12,5.78858e-19,1.27349e-18,1,0.166667,1,12642,6321,12110,721,2,7.71428,0.694738,0.492635
122070,10.3358,10.3358,10.3358,3.35611e-12,5.78135e-19,1.2719e-18,1,0.166667,3,12642,12642,24294,1316,1,10.3358,0,0.493635
122070,10.3358,10.3358,10.3358,3.35611e-12,5.78135e-19,1.2719e-18,1,0.166667,3,12642,12642,24294,1316,1,10.3358,0,0.493635
22194.6,18.2402,26.721,26.721,1.85329e-11,3.1775e-18,6.9905e-18,1,0.030303,8,69531,9933,19073.1,1023.14,7,9.06539,0.0863733,0.49427
81380.2,11.8319,13.4554,13.4554,5.33363e-12,8.67278e-19,1.90801e-18,1,0.111111,5,18963,9481.5,18196,1013,2,9.0267,0.149685,0.493597
56340.1,13.3731,15.6002,15.6002,7.07881e-12,1.25228e-18,2.75501e-18,1,0.0769231,5,27391,13695.5,26326,1405,2,10.6073,0,0.49387
66583.8,12.6566,15.0248,15.0248,6.50908e-12,1.06157e-18,2.33545e-18,1,0.0909091,5,23177,7725.67,14797.3,893.333,3,8.57551,0.260198,0.492373
