Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,silica,Err,Avg. silica,Err,Number of Si atoms (cm-3),Err,Number of O atoms (cm-3),Err,Number of OH atoms (cm-3),Err,Avg. Number of Primaries per Particle (-),Err,Avg. Primary Diameter (nm),Err,Avg. Sintering Level (-),Err,Avg. Particle Mass (kg),Err,Avg. Sintering Rate (m2/s),Err,Avg. Sintering Time (s),Err,Avg. Create Time (s),Err,Avg. Si:O ratio (-),Err
21,0.21,4096,0,1.20449e+15,0,7.30228e-09,0,7.39768e-09,0,7.39768e-09,0,0.219887,0,1.82557e-16,0,2.90396e-10,0,2.41096e-25,0,6.38872e-07,0,5.3041e-22,0,5.67483e-28,0,7.84853e-49,0,1.04261,0,11,0,6.321e+12,0,5247.88,0,6.321e+12,0,1.20492e+13,0,8.53632e+11,0,1.07748,0,7.11469,0,0.0194566,0,5.3041e-22,0,1.09845e-16,0,0.21,0,0,0,0.487402,0
22,0.22,4096,0,1.16553e+15,0,7.37146e-09,0,7.47963e-09,0,7.47963e-09,0,0.217948,0,1.86995e-16,0,2.90341e-10,0,2.49107e-25,0,6.3875e-07,0,5.48035e-22,0,5.91868e-28,0,8.58471e-49,0,1.08585,0,12,0,6.321e+12,0,5423.29,0,6.321e+12,0,1.20531e+13,0,8.45616e+11,0,1.08656,0,7.16214,0,0.0209458,0,5.48035e-22,0,9.0717e-17,0,0.22,0,0,0,0.487535,0
23,0.23,4096,0,1.13112e+15,0,7.4318e-09,0,7.55327e-09,0,7.55327e-09,0,0.216205,0,1.91142e-16,0,2.90291e-10,0,2.5664e-25,0,6.3864e-07,0,5.64607e-22,0,6.18392e-28,0,9.46873e-49,0,1.12137,0,12,0,6.321e+12,0,5588.25,0,6.321e+12,0,1.20566e+13,0,8.38427e+11,0,1.09646,0,7.19998,0,0.0225632,0,5.64607e-22,0,7.69441e-17,0,0.23,0,0,0,0.48764,0
24,0.24,4096,0,1.10125e+15,0,7.48442e-09,0,7.61966e-09,0,7.61966e-09,0,0.214723,0,1.94982e-16,0,2.90248e-10,0,2.63563e-25,0,6.38545e-07,0,5.79838e-22,0,6.42782e-28,0,1.02476e-48,0,1.15505,0,12,0,6.321e+12,0,5739.85,0,6.321e+12,0,1.20597e+13,0,8.32166e+11,0,1.10668,0,7.22877,0,0.0247657,0,5.79838e-22,0,9.70768e-17,0,0.24,0,0,0,0.487724,0
25,0.25,4096,0,1.06752e+15,0,7.5511e-09,0,7.7013e-09,0,7.7013e-09,0,0.213026,0,1.99552e-16,0,2.90198e-10,0,2.71843e-25,0,6.38436e-07,0,5.98054e-22,0,6.67978e-28,0,1.10509e-48,0,1.19474,0,13,0,6.321e+12,0,5921.19,0,6.321e+12,0,1.20632e+13,0,8.25058e+11,0,1.11793,0,7.26945,0,0.0266752,0,5.98054e-22,0,8.70463e-17,0,0.25,0,0,0,0.487842,0
26,0.26,4096,0,1.04044e+15,0,7.6005e-09,0,7.76501e-09,0,7.76501e-09,0,0.211588,0,2.03364e-16,0,2.90157e-10,0,2.7888e-25,0,6.38346e-07,0,6.13536e-22,0,6.94026e-28,0,1.19964e-48,0,1.22469,0,13,0,6.321e+12,0,6075.32,0,6.321e+12,0,1.2066e+13,0,8.19141e+11,0,1.12885,0,7.29347,0,0.0290625,0,6.13536e-22,0,7.75304e-16,0,0.26,0,0,0,0.48791,0
27,0.27,4096,0,1.01308e+15,0,7.65827e-09,0,7.83703e-09,0,7.83703e-09,0,0.210219,0,2.07506e-16,0,2.90117e-10,0,2.86372e-25,0,6.38257e-07,0,6.30018e-22,0,7.18011e-28,0,1.28483e-48,0,1.26352,0,13,0,6.321e+12,0,6239.41,0,6.321e+12,0,1.20689e+13,0,8.13349e+11,0,1.13885,0,7.32856,0,0.0301419,0,6.30018e-22,0,1.90479e-16,0,0.27,0,0,0,0.488009,0
28,0.28,4096,0,9.88336e+14,0,7.70914e-09,0,7.90266e-09,0,7.90266e-09,0,0.208969,0,2.11435e-16,0,2.90079e-10,0,2.93503e-25,0,6.38174e-07,0,6.45706e-22,0,7.43174e-28,0,1.3791e-48,0,1.29427,0,13,0,6.321e+12,0,6395.6,0,6.321e+12,0,1.20715e+13,0,8.07925e+11,0,1.14961,0,7.35484,0,0.0319366,0,6.45706e-22,0,8.39381e-17,0,0.28,0,0,0,0.488086,0
29,0.29,4096,0,9.58137e+14,0,7.77754e-09,0,7.9895e-09,0,7.9895e-09,0,0.207468,0,2.16532e-16,0,2.90035e-10,0,3.02707e-25,0,6.38077e-07,0,6.65956e-22,0,7.72872e-28,0,1.49418e-48,0,1.33411,0,13,0,6.321e+12,0,6597.18,0,6.321e+12,0,1.20746e+13,0,8.01596e+11,0,1.16143,0,7.39569,0,0.0333148,0,6.65956e-22,0,8.58109e-17,0,0.29,0,0,0,0.488196,0
30,0.3,4096,0,9.36511e+14,0,7.82267e-09,0,8.05144e-09,0,8.05144e-09,0,0.20642,0,2.20413e-16,0,2.90003e-10,0,3.09663e-25,0,6.38006e-07,0,6.81259e-22,0,8.0158e-28,0,1.61966e-48,0,1.36027,0,13,0,6.321e+12,0,6749.52,0,6.321e+12,0,1.20768e+13,0,7.97008e+11,0,1.17173,0,7.41761,0,0.0336036,0,6.81259e-22,0,9.76408e-17,0,0.3,0,0,0,0.488256,0
31,0.31,4096,0,9.13078e+14,0,7.87928e-09,0,8.12431e-09,0,8.12431e-09,0,0.205216,0,2.24752e-16,0,2.89967e-10,0,3.17571e-25,0,6.37927e-07,0,6.98655e-22,0,8.26237e-28,0,1.72054e-48,0,1.39387,0,13,0,6.321e+12,0,6922.74,0,6.321e+12,0,1.20793e+13,0,7.91844e+11,0,1.18375,0,7.44687,0,0.0354298,0,6.98655e-22,0,8.774e-17,0,0.31,0,0,0,0.488343,0
32,0.32,4096,0,8.88241e+14,0,7.94618e-09,0,8.20878e-09,0,8.20878e-09,0,0.203994,0,2.29661e-16,0,2.8993e-10,0,3.2641e-25,0,6.37847e-07,0,7.18101e-22,0,8.50158e-28,0,1.81659e-48,0,1.43473,0,13,0,6.321e+12,0,7116.31,0,6.321e+12,0,1.20817e+13,0,7.86676e+11,0,1.19604,0,7.48495,0,0.037204,0,7.18101e-22,0,7.80502e-17,0,0.32,0,0,0,0.488456,0
