Step,Time (s),C8H20O4SI (mol/cm3),Err,C6H16O4SI (mol/cm3),Err,C4H12O4SI (mol/cm3),Err,C2H8O4SI (mol/cm3),Err,H4O4SI (mol/cm3),Err,C6H16O4SI2 (mol/cm3),Err,C4H12O4SI2 (mol/cm3),Err,C2H8O4SI2 (mol/cm3),Err,H2 (mol/cm3),Err,H2O (mol/cm3),Err,H (mol/cm3),Err,CH4 (mol/cm3),Err,CH3 (mol/cm3),Err,CH2 (mol/cm3),Err,CH (mol/cm3),Err,CO (mol/cm3),Err,C2H (mol/cm3),Err,C2H2 (mol/cm3),Err,C2H3 (mol/cm3),Err,C2H4 (mol/cm3),Err,C2H5OH (mol/cm3),Err,C2H5 (mol/cm3),Err,H2CCCH (mol/cm3),Err,C3H2 (mol/cm3),Err,CH2(S) (mol/cm3),Err,C3H6 (mol/cm3),Err,AC3H5 (mol/cm3),Err,PC3H5 (mol/cm3),Err,N2 (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
27,0.0405,5.53272e-26,0,1.07872e-14,0,6.78213e-13,0,6.11901e-12,0,1.25331e-12,0,2.04202e-15,0,2.41429e-13,0,3.24265e-12,0,3.69201e-13,0,4.95261e-10,0,5.8256e-17,0,3.31237e-23,0,4.25373e-23,0,2.1856e-24,0,1.54641e-23,0,0,0,1.06926e-22,0,3.6923e-13,0,7.85892e-19,0,1.02719e-09,0,3.131e-19,0,3.23965e-19,0,1.90163e-26,0,5.21159e-24,0,1.92073e-26,0,3.84032e-25,0,4.03247e-23,0,7.20015e-31,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
28,0.042,3.88516e-26,0,7.57615e-15,0,5.38556e-13,0,5.25671e-12,0,1.09046e-12,0,1.33673e-15,0,1.82552e-13,0,2.67571e-12,0,3.86387e-13,0,5.01506e-10,0,6.09637e-17,0,3.68878e-23,0,4.65935e-23,0,2.29059e-24,0,1.64901e-23,0,0,0,1.20208e-22,0,3.86417e-13,0,8.22637e-19,0,1.02901e-09,0,3.32846e-19,0,3.39624e-19,0,2.19087e-26,0,6.118e-24,0,2.01299e-26,0,4.39659e-25,0,4.42716e-23,0,8.62035e-31,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
29,0.0435,2.73153e-26,0,5.32091e-15,0,4.27397e-13,0,4.50743e-12,0,1.04817e-12,0,8.75038e-16,0,1.37971e-13,0,2.2042e-12,0,4.03602e-13,0,5.06997e-10,0,6.3676e-17,0,4.09133e-23,0,5.08423e-23,0,2.3958e-24,0,1.75007e-23,0,0,0,1.34557e-22,0,4.03633e-13,0,8.59318e-19,0,1.03053e-09,0,3.52384e-19,0,3.5526e-19,0,2.51155e-26,0,7.12597e-24,0,2.10545e-26,0,5.00472e-25,0,4.84106e-23,0,1.02462e-30,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
30,0.045,1.9208e-26,0,3.73701e-15,0,3.39e-13,0,3.85833e-12,0,8.7125e-13,0,5.72809e-16,0,1.04237e-13,0,1.81303e-12,0,4.20842e-13,0,5.11821e-10,0,6.63921e-17,0,4.52078e-23,0,5.52836e-23,0,2.5012e-24,0,1.84914e-23,0,0,0,1.50011e-22,0,4.20875e-13,0,8.95937e-19,0,1.0318e-09,0,3.71669e-19,0,3.70871e-19,0,2.86596e-26,0,8.23972e-24,0,2.19807e-26,0,5.66694e-25,0,5.27416e-23,0,1.20971e-30,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
31,0.0465,1.35058e-26,0,2.6246e-15,0,2.68758e-13,0,3.29753e-12,0,7.78978e-13,0,3.74967e-16,0,7.87253e-14,0,1.48924e-12,0,4.38103e-13,0,5.16169e-10,0,6.91114e-17,0,4.97787e-23,0,5.9917e-23,0,2.60676e-24,0,1.94577e-23,0,0,0,1.66607e-22,0,4.38137e-13,0,9.32497e-19,0,1.03287e-09,0,3.90667e-19,0,3.8646e-19,0,3.25647e-26,0,9.46304e-24,0,2.29083e-26,0,6.38546e-25,0,5.72643e-23,0,1.41935e-30,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
32,0.048,9.49485e-27,0,1.84332e-15,0,2.12982e-13,0,2.8142e-12,0,6.99842e-13,0,2.45458e-16,0,5.94402e-14,0,1.22175e-12,0,4.55382e-13,0,5.19922e-10,0,7.18334e-17,0,5.46334e-23,0,6.47423e-23,0,2.71245e-24,0,2.0396e-23,0,0,0,1.84381e-22,0,4.55418e-13,0,9.69e-19,0,1.03375e-09,0,4.09356e-19,0,4.02026e-19,0,3.6856e-26,0,1.07993e-23,0,2.38372e-26,0,7.16248e-25,0,6.19786e-23,0,1.65568e-30,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
33,0.0495,6.67404e-27,0,1.29461e-15,0,1.68719e-13,0,2.39857e-12,0,6.01642e-13,0,1.60679e-16,0,4.48681e-14,0,1.00117e-12,0,4.72677e-13,0,5.2307e-10,0,7.45576e-17,0,5.97793e-23,0,6.97591e-23,0,2.81827e-24,0,2.13029e-23,0,0,0,2.0337e-22,0,4.72714e-13,0,1.00545e-18,0,1.03449e-09,0,4.27699e-19,0,4.17571e-19,0,4.15593e-26,0,1.22513e-23,0,2.4767e-26,0,8.00017e-25,0,6.68844e-23,0,1.92093e-30,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
34,0.051,4.69063e-27,0,9.09236e-16,0,1.33612e-13,0,2.04186e-12,0,5.30123e-13,0,1.05182e-16,0,3.38611e-14,0,8.19562e-13,0,4.89985e-13,0,5.25983e-10,0,7.72837e-17,0,6.52239e-23,0,7.49673e-23,0,2.92417e-24,0,2.21757e-23,0,0,0,2.23608e-22,0,4.90023e-13,0,1.04185e-18,0,1.0351e-09,0,4.45683e-19,0,4.33096e-19,0,4.67017e-26,0,1.38217e-23,0,2.56977e-26,0,8.90071e-25,0,7.19814e-23,0,2.21741e-30,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
35,0.0525,3.29626e-27,0,6.38579e-16,0,1.05779e-13,0,1.73628e-12,0,5.15343e-13,0,6.88536e-17,0,2.55496e-14,0,6.70266e-13,0,5.07304e-13,0,5.28445e-10,0,8.00114e-17,0,7.09745e-23,0,8.03663e-23,0,3.03015e-24,0,2.30121e-23,0,0,0,2.45128e-22,0,5.07344e-13,0,1.07821e-18,0,1.03561e-09,0,4.63291e-19,0,4.48604e-19,0,5.23113e-26,0,1.55123e-23,0,2.66291e-26,0,9.86624e-25,0,7.72696e-23,0,2.54754e-30,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
36,0.054,2.31617e-27,0,4.4849e-16,0,8.37231e-14,0,1.47492e-12,0,4.24376e-13,0,4.50723e-17,0,1.92751e-14,0,5.47693e-13,0,5.24632e-13,0,5.30629e-10,0,8.27404e-17,0,7.70387e-23,0,8.5956e-23,0,3.1362e-24,0,2.38102e-23,0,0,0,2.67964e-22,0,5.24673e-13,0,1.11452e-18,0,1.03604e-09,0,4.80512e-19,0,4.64095e-19,0,5.84174e-26,0,1.73247e-23,0,2.75609e-26,0,1.08989e-24,0,8.27488e-23,0,2.91382e-30,0,1.03877e-05,0,1173,0,1.03892e-05,0,101325,0
